date,MACD_Signal,MACD,MACD_Hist,RSI,Real Lower Band,Real Middle Band,Real Upper Band,4. close,Y,X,Buy/Sell
2011-03-24,-1.4548,-2.4277,-0.9729,50.317,329.7964,347.179,364.5616,344.97,10860.09824,0.732399059, 
2011-03-23,-1.2115,-2.8619,-1.6504,46.8952,329.6151,347.0745,364.5339,339.19,10860.51561,1.149769012, 
2011-03-22,-0.7989,-2.786,-1.9871,47.9871,330.0341,347.246,364.4579,341.2,10860.3967,1.030859934, 
2011-03-21,-0.3021,-2.8533,-2.5512,46.8764,329.687,347.1165,364.546,339.3,10860.52521,1.159368165, 
2011-03-18,0.3357,-2.7042,-3.0399,41.4845,330.5719,347.6795,364.7871,330.67,10861.05655,1.690707969, 
2011-03-17,1.0956,-1.5959,-2.6915,43.41,333.2581,349.061,364.8639,334.64,10860.69589,1.330050856, 
2011-03-16,1.7685,-0.5623,-2.3308,40.3421,335.0062,350.4855,365.9648,330.01,10860.85451,1.488675047, 
2011-03-15,2.3512,1.2366,-1.1146,48.6945,339.1522,351.98,364.8078,345.43,10859.73123,0.365391471, 
2011-03-14,2.6299,1.9445,-0.6853,54.3283,339.8437,352.6675,365.4913,353.56,10859.04999,-0.315848851, 
2011-03-11,2.8012,1.9921,-0.8091,53.3379,339.8828,352.832,365.7812,351.99,10859.14518,-0.22065784, 
2011-03-10,3.0035,2.1837,-0.8197,49.836,339.9958,352.9595,365.9232,346.67,10859.47443,0.108594786, 
2011-03-09,3.2084,2.9382,-0.2702,54.0362,340.7186,353.534,366.3494,352.47,10858.93121,-0.434631001, 
2011-03-08,3.276,3.2679,-0.0081,56.6071,340.8452,353.6705,366.4958,355.76,10858.61851,-0.747326111, 
2011-03-07,3.278,3.3061,0.0282,56.3673,340.6661,353.4765,366.2869,355.36,10858.63722,-0.72861478, 
2011-03-04,3.2709,3.3476,0.0767,60.0222,339.9054,353.0335,366.1616,360,10858.25823,-1.107604287, 
2011-03-03,3.2518,2.8795,-0.3723,59.7873,338.8524,352.2055,365.5586,359.56,10858.35491,-1.010930823, 
2011-03-02,3.3448,2.2848,-1.06,55.5963,338.1168,351.4435,364.7702,352.12,10858.87408,-0.491756925, 
2011-03-01,3.6098,2.2501,-1.3597,53.8714,337.479,351.089,364.699,349.31,10859.0582,-0.307639884, 
2011-02-28,3.9498,2.4593,-1.4905,56.7796,336.0532,350.5895,365.1258,353.21,10858.73392,-0.631921133, 
2011-02-25,4.3224,2.2933,-2.0291,53.7053,333.9545,349.734,365.5135,348.16,10859.07796,-0.287881553, 
2011-02-24,4.8297,2.5623,-2.2673,50.1857,333.4627,349.4865,365.5103,342.88,10859.40064,0.034800951, 
2011-02-23,5.3965,3.406,-1.9905,50.0079,333.5857,349.535,365.4843,342.62,10859.29443,-0.071407052, 
2011-02-22,5.8941,4.4598,-1.4343,47.2493,333.4105,349.474,365.5375,338.61,10859.41856,0.052724352, 
2011-02-18,6.2527,6.1482,-0.1045,55.9972,333.1885,349.416,365.6435,350.56,10858.27018,-1.095660997, 
